   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.73892,             0.69996,             0.69106,             0.18794,            0.073285,             0.25798,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.078051,              0.1378,              0.3349,              32.686,             0.19893,             0.75219,              3.8583,          0.00077918,             0.70461,             0.43904,             0.32041,             0.51556,              0.9148,                   3
             0.70433,             0.74462,             0.73053,              0.2219,            0.072627,              0.2675,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0043435,             0.74048,             0.81296,              34.731,             0.78223,             0.44096,              4.3557,          0.00037926,              0.1391,             0.80266,             0.73589,             0.46848,             0.89211,                   3
             0.90038,             0.81048,             0.91915,             0.41319,            0.059594,             0.25669,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.091804,             0.19709,             0.22615,              5.5225,              0.6949,              0.5596,              3.9061,          0.00093156,            0.074506,             0.81201,             0.34095,            0.044543,             0.38477,                   3
             0.72592,             0.75825,             0.74384,              0.2085,            0.073886,             0.25705,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.083493,             0.61369,             0.27066,              42.607,             0.79992,             0.86402,               5.224,          0.00023196,             0.33891,             0.60442,             0.97195,             0.74767,             0.27186,                   3
             0.56683,             0.64516,             0.60171,             0.16449,            0.077003,             0.27069,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.029936,             0.23632,             0.85236,              41.166,             0.26777,             0.68822,              2.8437,          0.00046633,             0.36329,           0.0029652,             0.95155,            0.020976,             0.59785,                   3
             0.84928,             0.84823,             0.87271,              0.2828,             0.06653,               0.251,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.077845,             0.85115,             0.58629,              16.907,             0.13747,            0.056491,              9.4786,          0.00080171,             0.94389,             0.17602,             0.97167,             0.26288,             0.58057,                   3
             0.79843,             0.74194,             0.81693,             0.28701,            0.066867,             0.26218,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0023349,             0.84123,             0.69054,              5.7152,             0.69435,             0.76095,              8.7805,          0.00012684,             0.64343,             0.90707,             0.13172,             0.45596,             0.47374,                   3
             0.83223,             0.80674,             0.80033,             0.21568,            0.068583,             0.24966,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.067166,            0.033245,             0.40463,              16.847,            0.050794,              0.2052,              8.8556,          0.00054137,             0.97561,             0.74647,             0.69793,              0.2334,             0.45423,                   3
              0.8735,             0.84459,             0.91603,             0.36324,            0.062223,             0.25209,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.057276,             0.10367,             0.24835,               15.74,             0.35586,             0.63073,              4.7049,          0.00026048,              0.9289,             0.98683,             0.61425,            0.063342,             0.59578,                   3
             0.79524,             0.76747,              0.8303,             0.27538,            0.066528,             0.26193,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.060217,             0.10452,             0.48936,              11.758,             0.89692,             0.71519,              9.3704,          0.00034894,             0.40909,            0.032369,             0.57235,             0.44616,             0.53475,                   3
             0.82229,             0.84581,              0.8845,             0.32756,            0.064434,              0.2451,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.018532,             0.68952,             0.58357,              12.476,             0.17452,             0.64366,              3.1664,          0.00091201,             0.41356,             0.67611,             0.36034,             0.66195,            0.072428,                   3
             0.88912,             0.87297,             0.93616,              0.4645,            0.056372,             0.24458,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
